title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,4.0,50,4,3899550,16.0,"(10.0, 20.0]",11.264348714399027,"(10.0, 20.0]"
Introduction to Probability,97291,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,10,9631809,75.0,"(70.0, 80.0]",11.485461766465319,"(70.0, 80.0]"
Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,4,9600228,30.0,"(20.0, 30.0]",11.482177556021448,"(20.0, 30.0]"
Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,3969196,21.0,"(20.0, 30.0]",11.302253815151339,"(20.0, 30.0]"
Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,Introductory,Data Analysis & Statistics,English,English,10–20 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,15.0,99,4,2859021,60.0,"(50.0, 60.0]",10.270869966368487,"(50.0, 60.0]"
High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,3.0,149,4,11688007,12.0,"(10.0, 20.0]",11.270127525371894,"(10.0, 20.0]"
Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,6,3284421,24.0,"(20.0, 30.0]",11.112880640547596,"(20.0, 30.0]"
Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Medicine,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $139 USD,3.0,139,8,17632150,24.0,"(20.0, 30.0]",11.750760565027427,"(20.0, 30.0]"
"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,"English, Português",5–7 hours per week,11 Weeks,FREE-Add a Verified Certificate for $99 USD,6.0,99,11,7610526,66.0,"(60.0, 70.0]",11.249922996894131,"(60.0, 70.0]"
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,Introductory,Philosophy & Ethics,English,English,1–2 hours per week,13 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,13,2396592,19.5,"(10.0, 20.0]",10.094438436028137,"(10.0, 20.0]"
Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,10,2050062,30.0,"(20.0, 30.0]",10.641560296449066,"(20.0, 30.0]"
